metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
windows.hyperv_root_partition_device_interrupt_errors,,requests,Illegal Interrupt request,,go.plugin,windows
windows.hyperv_root_partition_device_interrupt_throttle_events,,interrupts,Partition temporary throttled,,go.plugin,windows
windows.hyperv_root_partition_gpa_space_modifications,,gpa,Modifications to GPA space,,go.plugin,windows
windows.hyperv_root_partition_io_tlb_flush,,flushes,Flushes of I/O TLB,,go.plugin,windows
windows.hyperv_root_partition_io_tlb_flush_cost,,period,Average time to process I/O TLB flush,,go.plugin,windows
windows.hyperv_root_partition_virtual_tlb_flush_entires,,flushes,The rate of flushes of the entire virtual TLB,,go.plugin,windows
windows.hyperv_root_partition_physical_page_allocated,,timer,Number of timer interrupted skipped.,,go.plugin,windows
windows.hyperv_root_parition_preferred_numa_node_index,,pages,Number of pages present in the GPA space.,,go.plugin,windows
windows.hyperv_root_partition_recommended_virtual_tlb_size,,pages,The recommended number of pages to be deposited for the Virtual TLB.,,go.plugin,windows
windows.hyperv_root_partition_virtual_tlb_pages,,pages,Pages used by the virtual TLB of the partition.,,go.plugin,windows
windows.hyperv_vm_device_bytes_read,devices,read,Total of bytes read on virtual device,,go.plugin,windows
windows.hyperv_vm_device_operation_read,devices,read,Total of operations read on virtual device,,go.plugin,windows
windows.hyperv_vm_device_bytes_written,devices,write,Total of bytes written on virtual device,,go.plugin,windows
windows.hyperv_vm_device_operation_written,devices,write,Total of operations written on virtual device,,go.plugin,windows
windows.hyperv_vm_device_error_count,devices,error,Number of errors on virtual device,,go.plugin,windows
windows.hyperv_vm_device_queue_length,devices,queue,Current Queue length on virtual device,,go.plugin,windows
windows.hyperv_vm_interface_bytes_received,interfaces,received,Number of bytes received per second.,,go.plugin,windows
windows.hyperv_vm_interface_bytes_sent,interfaces,sent,Number of bytes sent per second.,,go.plugin,windows
windows.hyperv_vm_interface_packets_incoming_dropped,interfaces,packets,Number of incoming packets dropped per second.,,go.plugin,windows
windows.hyperv_vm_interface_packets_outgoing_dropped,interfaces,packets,Number of outgoing packets dropped per second.,,go.plugin,windows
windows.hyperv_vm_interface_packets_received,interfaces,packets,Number of packets received per second.,,go.plugin,windows
windows.hyperv_vm_interface_packets_sent,interfaces,packets,Number of pacakets sent per second.,,go.plugin,windows
windows.hyperv_host_cpu_guest_run_time,cpu,period,nanoseconds,Time spent by virtual processor in guest code.,,go.plugin,windows
windows.hyperv_host_cpu_hypervisor_run_time,cpu,period,nanoseconds,Time spent by virtual processor in hypervisor code.,vm_core,go.plugin,windows
windows.hyperv_host_cpu_remote_run_time,cpu,period,nanoseconds,Time spent by virtual processor in remote code.,vm_core,go.plugin,windows
windows.hyperv_host_cpu_total_run_time,cpu,period,nanoseconds,Time spent by virtual processor in guest and hypervisor code.,vm_core,go.plugin,windows
windows.hyperv_host_lp_guest_run_time,cpu,period,percentage,Percentage of time spent by logical processor in guest code.,vm_core,go.plugin,windows
windows.hyperv_host_lp_hypervisor_run_time,cpu,period,percentage,Percentage of time spent by logical processor in hypervisor code.,vm_core,go.plugin,windows
windows.hyperv_host_lp_total_run_time,cpu,period,percentage,Percentage of time spent by logical processor in guest and hypervisor code.,vm_core,go.plugin,windows
iis.website_traffic,website,"received, sent",bytes/s,"Website traffic",area,website,go.d.plugin,windows
iis.website_requests_rate,website,requests,requests/s,"Website requests rate",line,website,go.d.plugin,windows
iis.website_active_connections_count,website,active,connections,"Website active connections",line,website,go.d.plugin,windows
iis.website_users_count,website,"anonymous, non_anonymous",users,"Website users with pending requests",stacked,website,go.d.plugin,windows
iis.website_connection_attempts_rate,website,connection,attempts/s,"Website connections attempts",line,website,go.d.plugin,windows
iis.website_isapi_extension_requests_count,website,isapi,requests,"ISAPI extension requests",line,website,go.d.plugin,windows
iis.website_isapi_extension_requests_rate,website,isapi,requests/s,"Website extensions request",line,website,go.d.plugin,windows
iis.website_ftp_file_transfer_rate,website,"received, sent",files/s,"Website FTP file transfer rate",line,website,go.d.plugin,windows
iis.website_logon_attempts_rate,website,logon,attempts/s,"Website logon attempts",line,website,go.d.plugin,windows
iis.website_errors_rate,website,"document_locked, document_not_found",errors/s,"Website errors",stacked,website,go.d.plugin,windows
iis.website_uptime,website,"document_locked, document_not_found",seconds,"Website uptime",line,website,go.d.plugin,windows
mssql.instance_accessmethods_page_splits,mssql instance,page,splits/s,"Page splits",line,mssql_instance,go.d.plugin,windows
mssql.instance_cache_hit_ratio,mssql instance,hit_ratio,percentage,"Buffer Cache hit ratio",line,mssql_instance,go.d.plugin,windows
mssql.instance_bufman_checkpoint_pages,mssql instance,flushed,pages/s,"Flushed pages",line,mssql_instance,go.d.plugin,windows
mssql.instance_bufman_page_life_expectancy,mssql instance,life_expectancy,seconds,"Page life expectancy",line,mssql_instance,go.d.plugin,windows
mssql.instance_bufman_iops,mssql instance,"read, written",iops,"Number of pages input and output",line,mssql_instance,go.d.plugin,windows
mssql.instance_blocked_processes,mssql instance,blocked,processes,"Blocked processes",line,mssql_instance,go.d.plugin,windows
mssql.instance_user_connection,mssql instance,user,connections,"User connections",line,mssql_instance,go.d.plugin,windows
mssql.instance_locks_lock_wait,mssql instance,"alloc_unit, application, database, extent, file, hobt, key, metadata, oib, object, page, rid, row_group, xact",locks/s,"Lock requests that required the caller to wait",line,mssql_instance,go.d.plugin,windows
mssql.instance_locks_deadlocks,mssql instance,"alloc_unit, application, database, extent, file, hobt, key, metadata, oib, object, page, rid, row_group, xact",locks/s,"Lock requests that resulted in deadlock",line,mssql_instance,go.d.plugin,windows
mssql.instance_memmgr_connection_memory_bytes,mssql instance,memory,bytes,"Amount of dynamic memory to maintain connections",line,mssql_instance,go.d.plugin,windows
mssql.instance_memmgr_external_benefit_of_memory,mssql instance,benefit,bytes,"Performance benefit from adding memory to a specific cache",line,mssql_instance,go.d.plugin,windows
mssql.instance_memmgr_pending_memory_grants,mssql instance,pending,processes,"Process waiting for memory grant",line,mssql_instance,go.d.plugin,windows
mssql.instance_memmgr_server_memory,mssql instance,memory,bytes,"Memory committed",line,mssql_instance,go.d.plugin,windows
mssql.instance_sql_errors,mssql instance,"db_offline, info, kill_connection, user",errors,"Errors",line,mssql_instance,go.d.plugin,windows
mssql.instance_sqlstats_auto_parameterization_attempts,mssql instance,failed,attempts/s,"Failed auto-parameterization attempts",line,mssql_instance,go.d.plugin,windows
mssql.instance_sqlstats_batch_requests,mssql instance,batch,requests/s,"Total of batches requests",line,mssql_instance,go.d.plugin,windows
mssql.instance_sqlstats_safe_auto_parameterization_attempts,mssql instance,safe,attempts/s,"Safe auto-parameterization attempts",line,mssql_instance,go.d.plugin,windows
mssql.instance_sqlstats_sql_compilations,mssql instance,compilations,compilations/s,"SQL compilations",line,mssql_instance,go.d.plugin,windows
mssql.instance_sqlstats_sql_recompilations,mssql instance,recompiles,recompiles/s,"SQL re-compilations",line,mssql_instance,go.d.plugin,windows
mssql.database_active_transactions,database,active,transactions,"Active transactions per database",line,"mssql_instance, database",go.d.plugin,windows
mssql.database_backup_restore_operations,database,backup,operations/s,"Backup IO per database",line,"mssql_instance, database",go.d.plugin,windows
mssql.database_data_files_size,database,size,bytes,"Current database size",line,"mssql_instance, database",go.d.plugin,windows
mssql.database_log_flushed,database,flushed,bytes/s,"Log flushed",line,"mssql_instance, database",go.d.plugin,windows
mssql.database_log_flushes,database,log,flushes/s,"Log flushes",line,"mssql_instance, database",go.d.plugin,windows
mssql.database_transactions,database,transactions,transactions/s,"Transactions",line,"mssql_instance, database",go.d.plugin,windows
mssql.database_write_transactions,database,write,transactions/s,"Write transactions",line,"mssql_instance, database",go.d.plugin,windows
ad.database_operations,,"add, delete, modify, recycle",operations/s,"AD database operations",line,,go.d.plugin,windows
ad.directory_operations,,"read, write, search",operations/s,"AD directory operations",line,,go.d.plugin,windows
ad.name_cache_lookups,,lookups,lookups/s,"Name cache lookups",line,,go.d.plugin,windows
ad.name_cache_hits,,hits,hits/s,"Name cache hits",line,,go.d.plugin,windows
ad.atq_average_request_latency,,time,seconds,"Average request processing time",line,,go.d.plugin,windows
ad.atq_outstanding_requests,,outstanding,requests,"Outstanding requests",line,,go.d.plugin,windows
ad.dra_replication_intersite_compressed_traffic,,"inbound, outbound",bytes/s,"DRA replication compressed traffic withing site",area,,go.d.plugin,windows
ad.dra_replication_intrasite_compressed_traffic,,"inbound, outbound",bytes/s,"DRA replication compressed traffic between sites",area,,go.d.plugin,windows
ad.dra_replication_sync_objects_remaining,,"inbound, outbound",objects,"DRA replication full sync objects remaining",line,,go.d.plugin,windows
ad.dra_replication_objects_filtered,,"inbound, outbound",objects/s,"DRA replication objects filtered",line,,go.d.plugin,windows
ad.dra_replication_properties_updated,,"inbound, outbound",properties/s,"DRA replication properties updated",line,,go.d.plugin,windows
ad.dra_replication_properties_filtered,,"inbound, outbound",properties/s,"DRA replication properties filtered",line,,go.d.plugin,windows
ad.dra_replication_pending_syncs,,pending,syncs,"DRA replication pending syncs",line,,go.d.plugin,windows
ad.dra_replication_sync_requests,,requests,requests/s,"DRA replication sync requests",line,,go.d.plugin,windows
ad.ds_threads,,in_use,threads,"Directory Service threads",line,,go.d.plugin,windows
ad.ldap_last_bind_time,,last_bind,seconds,"LDAP last successful bind time",line,,go.d.plugin,windows
ad.binds,,binds,binds/s,"Successful binds",line,,go.d.plugin,windows
ad.ldap_searches,,searches,searches/s,"LDAP client search operations",line,,go.d.plugin,windows
adcs.cert_template_requests,certificate template,requests,requests/s,"Certificate requests processed",line,cert_template,go.d.plugin,windows
adcs.cert_template_failed_requests,certificate template,failed,requests/s,"Certificate failed requests processed",line,cert_template,go.d.plugin,windows
adcs.cert_template_issued_requests,certificate template,issued,requests/s,"Certificate issued requests processed",line,cert_template,go.d.plugin,windows
adcs.cert_template_pending_requests,certificate template,pending,requests/s,"Certificate pending requests processed",line,cert_template,go.d.plugin,windows
adcs.cert_template_request_processing_time,certificate template,processing_time,seconds,"Certificate last request processing time",line,cert_template,go.d.plugin,windows
adcs.cert_template_retrievals,certificate template,retrievals,retrievals/s,"Total of certificate retrievals",line,cert_template,go.d.plugin,windows
adcs.cert_template_retrieval_processing_time,certificate template,processing_time,seconds,"Certificate last retrieval processing time",line,cert_template,go.d.plugin,windows
adcs.cert_template_request_cryptographic_signing_time,certificate template,singing_time,seconds,"Certificate last signing operation request time",line,cert_template,go.d.plugin,windows
adcs.cert_template_request_policy_module_processing,certificate template,processing_time,seconds,"Certificate last policy module processing request time",line,cert_template,go.d.plugin,windows
adcs.cert_template_challenge_responses,certificate template,challenge,responses/s,"Certificate challenge responses",line,cert_template,go.d.plugin,windows
adcs.cert_template_challenge_response_processing_time,certificate template,processing_time,seconds,"Certificate last challenge response time",line,cert_template,go.d.plugin,windows
adcs.cert_template_signed_certificate_timestamp_lists,certificate template,processed,lists/s,"Certificate Signed Certificate Timestamp Lists processed",line,cert_template,go.d.plugin,windows
adcs.cert_template_signed_certificate_timestamp_list_processing_time,certificate template,processing_time,seconds,"Certificate last Signed Certificate Timestamp List process time",line,cert_template,go.d.plugin,windows
adfs.ad_login_connection_failures,,connection,failures/s,"Connection failures",line,,go.d.plugin,windows
adfs.certificate_authentications,,authentications,authentications/s,"User Certificate authentications",line,,go.d.plugin,windows
adfs.db_artifact_failures,,connection,failures/s,"Connection failures to the artifact database",line,,go.d.plugin,windows
adfs.db_artifact_query_time_seconds,,query_time,seconds/s,"Time taken for an artifact database query",line,,go.d.plugin,windows
adfs.db_config_failures,,connection,failures/s,"Connection failures to the configuration database",line,,go.d.plugin,windows
adfs.db_config_query_time_seconds,,query_time,seconds/s,"Time taken for a configuration database query",line,,go.d.plugin,windows
adfs.device_authentications,,authentications,authentications/s,"Device authentications",line,,go.d.plugin,windows
adfs.external_authentications,,"success, failure",authentications/s,"Authentications from external MFA providers",line,,go.d.plugin,windows
