metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
tengine.bandwidth_total,,"in, out",B/s,"Bandwidth",area,,go.d.plugin,tengine
tengine.connections_total,,accepted,connections/s,"Connections",line,,go.d.plugin,tengine
tengine.requests_total,,processed,requests/s,"Requests",line,,go.d.plugin,tengine
tengine.requests_per_response_code_family_total,,"2xx, 3xx, 4xx, 5xx, other",requests/s,"Requests Per Response Code Family",stacked,,go.d.plugin,tengine
tengine.requests_per_response_code_detailed_total,,"200, 206, 302, 304, 403, 404, 419, 499, 500, 502, 503, 504, 508, other",requests/s,"Requests Per Response Code Detailed",stacked,,go.d.plugin,tengine
tengine.requests_upstream_total,,requests,requests/s,"Number Of Requests Calling For Upstream",line,,go.d.plugin,tengine
tengine.tries_upstream_total,,calls,calls/s,"Number Of Times Calling For Upstream",line,,go.d.plugin,tengine
tengine.requests_upstream_per_response_code_family_total,,"4xx, 5xx",requests/s,"Upstream Requests Per Response Code Family",stacked,,go.d.plugin,tengine
