metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
vernemq.mqtt_pubrec_sent_reason,,a dimensions per reason,packets/s,"v5 PUBREC QoS 2 Sent by Reason",stacked,,go.d.plugin,vernemq
vernemq.mqtt_pubrec_invalid_error,,unexpected,messages/s,"v3 PUBREC QoS 2 Received Unexpected Messages",line,,go.d.plugin,vernemq
vernemq.mqtt_pubrel,,"received, sent",packets/s,"v3/v5 PUBREL QoS 2",line,,go.d.plugin,vernemq
vernemq.mqtt_pubrel_received_reason,,a dimensions per reason,packets/s,"v5 PUBREL QoS 2 Received by Reason",stacked,,go.d.plugin,vernemq
vernemq.mqtt_pubrel_sent_reason,,a dimensions per reason,packets/s,"v5 PUBREL QoS 2 Sent by Reason",stacked,,go.d.plugin,vernemq
vernemq.mqtt_pubcom,,"received, sent",packets/s,"v3/v5 PUBCOMP QoS 2",line,,go.d.plugin,vernemq
vernemq.mqtt_pubcomp_received_reason,,a dimensions per reason,packets/s,"v5 PUBCOMP QoS 2 Received by Reason",stacked,,go.d.plugin,vernemq
vernemq.mqtt_pubcomp_sent_reason,,a dimensions per reason,packets/s,"v5 PUBCOMP QoS 2 Sent by Reason",stacked,,go.d.plugin,vernemq
vernemq.mqtt_pubcomp_invalid_error,,unexpected,messages/s,"v3/v5 PUBCOMP QoS 2 Received Unexpected Messages",line,,go.d.plugin,vernemq
vernemq.mqtt_ping,,"pingreq, pingresp",packets/s,"v3/v5 PING",line,,go.d.plugin,vernemq
vernemq.node_uptime,,"time",seconds,"Node Uptime",line,,go.d.plugin,vernemq
